day,temp_mean,temp_max,temp_min,hdd,cdd
08-15,78.3,88.0,68.8,0.0,13.3
08-16,78.9,88.4,70.0,0.0,13.9
08-17,79.4,88.6,70.3,0.0,14.4
08-18,79.6,89.5,70.1,0.0,14.6
08-19,79.6,89.8,69.7,0.0,14.6
08-20,79.4,88.8,69.9,0.0,14.4
08-21,78.7,88.1,69.3,0.0,13.7
08-22,78.5,88.7,68.5,0.0,13.5
08-23,78.6,88.2,68.8,0.0,13.6
08-24,78.7,88.7,68.9,0.0,13.7
08-25,77.7,87.1,68.4,0.0,12.7
08-26,78.2,88.1,68.4,0.0,13.2
08-27,77.8,87.3,68.3,0.0,12.8
08-28,77.8,87.0,68.7,0.0,12.8
08-29,78.0,87.4,68.9,0.0,13.0
08-30,77.2,85.8,68.8,0.0,12.2
08-31,77.0,85.4,68.9,0.0,12.0
09-01,76.7,85.2,68.2,0.0,11.7
09-02,76.1,84.6,67.9,0.0,11.1
09-03,76.3,84.9,67.8,0.0,11.3
09-04,75.4,84.6,66.2,0.0,10.4
09-05,75.0,85.0,65.2,0.0,10.0
09-06,74.6,84.5,64.9,0.0,9.6
09-07,74.7,84.8,65.0,0.0,9.7
09-08,74.8,85.4,64.2,0.0,9.8
09-09,74.7,84.9,64.8,0.0,9.7
09-10,74.2,84.9,64.1,0.0,9.2
09-11,74.8,84.9,64.7,0.0,9.8
09-12,74.9,84.6,65.1,0.0,9.9
09-13,73.2,83.1,63.6,0.0,8.2
09-14,73.6,84.2,63.1,0.0,8.6
09-15,73.3,83.3,63.2,0.0,8.3
09-16,72.5,82.5,62.7,0.0,7.5
09-17,72.1,81.5,62.6,0.0,7.1
09-18,71.5,80.9,61.9,0.0,6.5
09-19,71.7,82.4,61.0,0.0,6.7
09-20,71.9,82.3,61.8,0.0,6.9
09-21,72.4,82.2,62.6,0.0,7.4
09-22,71.5,81.8,61.1,0.0,6.5
09-23,71.0,81.7,60.4,0.0,6.0
09-24,69.2,79.3,59.2,0.0,4.2
09-25,68.9,79.1,58.4,0.0,3.9
09-26,68.5,78.4,59.0,0.0,3.5
09-27,69.0,78.6,59.6,0.0,4.0
09-28,68.8,79.6,58.3,0.0,3.8
09-29,67.6,77.5,57.6,0.0,2.6
09-30,66.8,77.5,56.1,0.0,1.8
10-01,66.6,77.7,55.4,0.0,1.6
10-02,66.0,77.6,54.6,0.0,1.0
10-03,66.7,77.6,55.9,0.0,1.7
10-04,66.8,77.9,55.8,0.0,1.8
10-05,67.1,79.1,55.0,0.0,2.1
10-06,66.1,77.3,54.8,0.0,1.1
10-07,65.1,75.0,55.2,0.0,0.1
10-08,64.7,74.2,55.2,0.3,0.0
10-09,65.4,74.1,56.5,0.0,0.4
10-10,64.7,74.4,55.3,0.3,0.0
10-11,64.9,75.4,55.1,0.1,0.0
10-12,64.2,73.6,54.7,0.8,0.0
10-13,63.6,73.4,53.7,1.4,0.0
10-14,62.9,73.8,51.6,2.1,0.0
10-15,61.7,73.6,49.9,3.3,0.0
10-16,61.9,73.4,50.2,3.1,0.0
10-17,61.7,73.5,49.9,3.3,0.0
10-18,61.8,73.0,50.4,3.2,0.0
10-19,60.4,72.1,48.5,4.6,0.0
10-20,60.0,72.2,47.5,5.0,0.0
10-21,60.4,73.1,47.6,4.6,0.0
10-22,60.2,71.1,49.2,4.8,0.0
10-23,58.9,70.1,47.6,6.1,0.0
10-24,58.8,69.7,47.8,6.2,0.0
10-25,58.9,69.8,48.2,6.1,0.0
10-26,59.8,71.1,48.6,5.2,0.0
10-27,58.8,69.6,47.7,6.2,0.0
10-28,59.0,70.0,47.8,6.0,0.0
10-29,57.3,69.3,45.3,7.7,0.0
10-30,57.9,70.5,45.6,7.1,0.0
10-31,58.6,70.1,47.0,6.4,0.0
11-01,58.8,70.1,47.2,6.2,0.0
11-02,58.3,69.1,47.3,6.7,0.0
11-03,57.0,68.9,44.9,8.0,0.0
11-04,55.5,65.6,45.1,9.5,0.0
11-05,55.4,65.7,45.2,9.6,0.0
11-06,54.9,65.2,44.5,10.1,0.0
11-07,54.4,66.0,42.4,10.6,0.0
11-08,53.9,65.6,42.0,11.1,0.0
11-09,54.3,65.5,43.1,10.7,0.0
11-10,54.6,66.0,42.8,10.4,0.0
11-11,52.1,63.7,40.6,12.9,0.0
11-12,52.9,64.4,41.1,12.1,0.0
11-13,51.5,62.5,40.0,13.5,0.0
11-14,51.3,63.1,39.4,13.7,0.0
11-15,52.4,63.4,41.1,12.6,0.0
11-16,52.9,63.6,42.1,12.1,0.0
11-17,51.3,61.8,40.0,13.7,0.0
11-18,51.5,62.8,39.5,13.5,0.0
11-19,51.7,61.8,40.9,13.3,0.0
11-20,52.4,62.4,42.1,12.6,0.0
11-21,51.2,61.1,41.1,13.8,0.0
11-22,50.5,61.7,39.0,14.5,0.0
11-23,50.7,61.2,39.9,14.3,0.0
11-24,51.2,61.9,40.1,13.8,0.0
11-25,50.6,61.6,39.4,14.4,0.0
11-26,51.1,62.6,39.1,13.9,0.0
11-27,51.2,61.6,40.7,13.8,0.0
11-28,51.3,62.0,40.2,13.7,0.0
11-29,49.6,59.1,39.7,15.4,0.0
11-30,49.8,59.6,39.9,15.2,0.0
12-01,48.2,57.8,38.0,16.8,0.0
12-02,48.6,59.6,37.4,16.4,0.0
12-03,48.5,59.7,37.1,16.5,0.0
12-04,48.6,58.3,38.3,16.4,0.0
12-05,48.0,57.5,38.0,17.0,0.0
12-06,45.9,55.9,35.6,19.1,0.0
12-07,45.7,56.5,34.8,19.3,0.0
12-08,46.6,56.5,36.4,18.4,0.0
12-09,47.1,56.5,37.1,17.9,0.0
12-10,46.0,55.2,36.5,19.0,0.0
12-11,45.3,54.5,35.9,19.7,0.0
12-12,45.8,54.2,37.3,19.2,0.0
12-13,45.3,54.6,35.9,19.7,0.0
12-14,44.7,53.2,35.9,20.3,0.0
12-15,45.1,55.4,34.8,19.9,0.0
12-16,46.0,56.4,35.3,19.0,0.0
12-17,45.2,55.2,35.0,19.8,0.0
12-18,43.8,53.6,33.4,21.2,0.0
12-19,43.7,53.7,33.5,21.3,0.0
12-20,44.3,53.1,35.4,20.7,0.0
12-21,44.5,53.3,35.6,20.5,0.0
12-22,45.4,54.3,35.8,19.6,0.0
12-23,45.4,54.9,35.2,19.6,0.0
12-24,43.5,51.4,35.5,21.5,0.0
12-25,41.7,49.3,33.6,23.3,0.0
12-26,42.5,51.7,33.0,22.5,0.0
12-27,44.5,53.9,35.0,20.5,0.0
12-28,44.7,53.6,35.6,20.3,0.0
12-29,44.9,54.5,35.3,20.1,0.0
12-30,43.1,52.4,33.8,21.9,0.0
12-31,44.3,53.2,34.9,20.7,0.0
