date,city_code ,temp_mean,temp_max,temp_min,hdd,dew_point,humidity_avg,humidity_max,humidity_min, precipitation, sea_level_pressure,wind_speed_avg,wind_speed_max, visibility, events
3/25/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/26/77,KFTY,50,59,50,15,43,64,74,55,0,30.23,N/A,0,6,
3/27/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/28/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/29/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.56,N/A,N/A,N/A,N/A,N/A
3/30/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,2.03,N/A,N/A,N/A,N/A,N/A
3/31/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,1.52,N/A,N/A,N/A,N/A,N/A
4/1/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/2/77,KFTY,62,62,60,3,56,84,84,83,0,30.02,N/A,4,7,Fog
4/3/77,KFTY,72,72,71,0,65,78,81,76,0,29.89,N/A,14,7,
4/4/77,KFTY,N/A,64,64,,65,100,100,100,0,29.8,N/A,9,5,Fog
4/5/77,KFTY,N/A,54,54,,47,77,77,77,0,29.6,N/A,12,7,
4/6/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/7/77,KFTY,43,45,39,22,33,73,82,63,0,30.37,N/A,0,10,
4/8/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/9/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/10/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/11/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/12/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/13/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/14/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/15/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/16/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/17/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/18/77,KFTY,N/A,61,61,,56,83,83,83,0,30.09,N/A,0,7,
4/19/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.31,N/A,N/A,N/A,N/A,N/A
4/20/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/21/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/22/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.04,N/A,N/A,N/A,N/A,N/A
4/23/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,30.06,N/A,6,10,
4/24/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.58,N/A,N/A,N/A,N/A,N/A
4/25/77,KFTY,N/A,51,51,,48,89,89,89,0,29.87,N/A,0,7,
4/26/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/27/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/28/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/29/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
4/30/77,KFTY,N/A,64,64,,64,97,97,97,0,30.22,N/A,4,2,Fog Rain
5/1/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.28,N/A,N/A,N/A,N/A,N/A
5/2/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/3/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/4/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
5/5/77,KFTY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
